,amenities
1016,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,bathtub,""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard""}"
1017,"{tv,internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo}"
1018,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""private entrance"",bathtub,""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard""}"
1019,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
1020,"{tv,""cable tv"",internet,wifi,kitchen,""pets live on this property"",dog(s),cat(s),heating,washer,dryer,essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1021,"{tv,internet,wifi,kitchen,""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",microwave,refrigerator,dishwasher,""dishes and silverware"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""lake access""}"
1022,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""host greets you""}"
1023,"{internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
1024,"{""smoke alarm"",""carbon monoxide alarm""}"
1025,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""outlet covers"",bathtub,""high chair"",""children’s books and toys"",""table corner guards"",""fireplace guards"",""babysitter recommendations"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""children’s dinnerware"",""game console"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""beach essentials"",""luggage dropoff allowed"",""long term stays allowed""}"
1026,"{tv,internet,wifi,kitchen,""free parking on premises"",""pets allowed"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",bathtub,""fireplace guards"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",stove,""garden or backyard""}"
1027,"{tv,internet,wifi,kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,bathtub,""high chair"",""room-darkening shades"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
1028,"{tv,internet,wifi,kitchen,""free parking on premises"",""smoking allowed"",""pets allowed"",breakfast,""pets live on this property"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer""}"
1029,"{tv,internet,wifi,""air conditioning"",kitchen,heating,essentials,shampoo}"
1030,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",elevator,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""game console"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""long term stays allowed""}"
1031,"{""cable tv"",internet,wifi,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1032,"{tv,internet,wifi,""pets live on this property"",dog(s),""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",""smart lock"",""private entrance"",""hot water""}"
1033,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1034,"{tv,wifi,""pets live on this property"",""free street parking"",""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",other}"
1035,{}
1036,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""smoking allowed"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""children’s books and toys"",""babysitter recommendations"",""game console"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed""}"
1037,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""laptop-friendly workspace"",""hot water"",other}"
1038,{}
1039,"{wifi,kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""bbq grill"",""garden or backyard"",""long term stays allowed""}"
1040,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""hot water kettle""}"
1041,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,doorman,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
1042,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,doorman,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
1043,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,doorman,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
1044,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home""}"
1045,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron}"
1046,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""paid parking off premises"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""outlet covers"",""baby bath"",""high chair"",""babysitter recommendations"",crib,""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""fixed grab bars for shower"",""shower chair""}"
